Question,Answer,intent
Do I have to drink milk to get calcium?,"Dairy products such as milk, cheese and yogurt are a great source of calcium, with about 250 to 350 milligrams per serving. (Adults require 1,000 to 1,200 milligrams of calcium per day, depending on age and gender.) Dairy products are certainly an easy and convenient way to get enough calcium, but they’re not the only way. Fortified plant-based beverages (such as those made from almonds, oats, cashews, etc.) also have 300 milligrams of calcium per cup, as does a serving of canned salmon or sardines, as long as you eat the bones. Foods such as kale, almonds, white beans and tofu have about 100 milligrams of calcium per serving, and broccoli clocks in at 40 milligrams per cup. The bottom line: Milk is not essential, but calcium is. With some mindful planning, you can get enough calcium whether your diet includes dairy or not.",nutrition
Should I avoid fruit because it has too much sugar?,"The No. 1 source of added sugar for Americans, providing 47% of the sugar in their diet, is sweetened beverages — items such as soda, lemonade, fruit punch and energy drinks. Fruit provides 1% of the added sugars Americans consume. (Note: Health advice to limit “added sugar” does not apply to the natural sugar in fruit.) Even if Americans met their daily fruit intake — and 88% do not — it wouldn’t come close to the volume of sugar we get from ultra-processed foods and beverages. If you need to cut back on sugar, swap sweetened beverages for water. Keep enjoying fruit, and aim for one or two cups per day.",nutrition
Do I need to drink eight glasses of water daily?,"Drinking water is vital because we lose fluid every day through sweating, urinating and breathing. But how can it be possible that each one of us — regardless of age, gender, size, activity level and diet — requires eight glasses per day? The answer: It’s not. That number comes from a 1945 U.S. Food and Nutrition Board recommendation, which was not based on research. And it didn’t recommend drinking only water for hydration; it noted that fluid can come from other beverages and food, too. So, there’s no scientific basis for the “eight glasses” number. In most cases, thirst is your best indicator that you need a drink. If that sense is compromised, keep beverages visible so you remember to sip throughout the day. Exactly how much to drink is not a static number for everyone.",nutrition
Is sugar the biggest problem in our diets?,"No single nutrient or ingredient is the cause of poor diets. We live in an environment where highly palatable and cheap food is available everywhere. Pizza, chips, pastries and soda are dietary staples, and the average American gets almost 60% of their daily calories from such ultra-processed foods. What’s most problematic is eating too much of those ultra-processed foods and not enough whole foods (such as vegetables, fish and nuts) over a long period of time.",nutrition
Q: What should my blood sugar be when I wake up (fasting) and before meals? What about after?,"A: For most people with diabetes, the American Diabetes Association recommends a fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. One to two hours after eating, a postprandial blood sugar reading at or under 180 mg/dl is recommended.",diabetes
Q: Does a diagnosis of type 2 diabetes mean I will have to go on insulin?,"A: No. People with type 2 diabetes may or may not ever need to take insulin injections, depending on several factors, including the timing of diagnosis. Research indicates that if type 2 diabetes is treated early and blood sugar is controlled initially and over the years, the pancreas is more likely to produce enough insulin longer. But a person who lives with type 2 upward of 15 years is unlikely to continue to make sufficient insulin and will need to take it via syringe, pen, or pump.",diabetes
Q: I was recently diagnosed with type 2 diabetes. Do I need to see an endocrinologist?,"A: ""While diabetes is an endocrine disease and falls under the specialty of an endocrinologist, there are only 3,000 of us in the U.S. who treat diabetes,"" says Nicholas Argento, M.D., an endocrinologist with Maryland Endocrine near Baltimore who has type 1 diabetes. Do the math: 25 million people have diabetes; there are not nearly enough endocrinologists. ""Most people with type 2 diabetes, especially in the early years, can partner with a primary care provider who takes an active interest in their diabetes,"" Argento says. Make sure your doctor keeps up-to-date and provides you with care in sync with current guidelines. Be active in your care and ask questions.",diabetes
Q: Can I get rid of type 2 diabetes if I stop eating carbs and/or lose a lot of weight?,"A: No, but you can control it. If you have prediabetes or were just diagnosed with type 2, losing a lot of weight can put the condition into remission. Weight regain, aging, and the natural progression of type 2 diabetes can bring it back. ""Not eating carbohydrate or severely restricting it is nearly impossible for any length of time. It's also not healthy, because you won't get essential nutrients,"" says JoJo Dantone, RD, CDE, a diabetes program coordinator in New Orleans.",diabetes
Q: Why is it OK to eat fruit when it's full of carbohydrate? Are some fruits better to eat than others?,"A: The calories in all fruits (fresh, frozen, dried, and canned without added sugar) are mainly carbohydrate with a bit of protein. People with diabetes need to eat a certain amount of carbs every day for energy and essential nutrients. Healthy sources of carbs include fruits, as well as vegetables, whole grains, legumes (beans), and low-fat dairy foods.",diabetes
Q: Why do my legs hurt when I start walking and stop hurting when I sit down?,"A: You have signs of peripheral arterial disease, or PAD. ""It develops when too much plaque in your arteries limits blood flow to the legs. The pain may occur while you walk because muscles need increased blood flow. The pain may stop when you sit because your muscles then require less blood flow,"" says Marjorie Cypress, Ph.D., CNP, CDE, a nurse practitioner in Albuquerque and president of Health Care and Education for the American Diabetes Association. PAD increases the risk of heart attacks, strokes, and foot ulcers. Cypress suggests lowering your risks for PAD with the same advice you follow to stay healthy with diabetes.",diabetes
Q: How can I learn to accept my diabetes?,"A: Accepting that you have diabetes is largely an act of cognition-a realignment of what you view as real and vital to your existence and how it can impact your life. Diabetes becomes an integral part of a person's life. ""While we all wish it would simply go away, this isn't possible-yet,"" says David Marrero, Ph.D., who has diabetes and is the director of the Diabetes Translational Research Center at the Indiana University School of Medicine. Marrero's advice: Accept that diabetes will, for the rest of your life, be there. And it's a very treatable disease, which places few restrictions on you if you follow treatment recommendations.",diabetes
Q: My husband has type 2 diabetes and is a truck driver. What foods can he take on the road?,"A: ""Preplanning and having healthy snacks at the ready are keys to helping you eat healthy on the road,"" says Lisa Brown, RD, CDE, of BrownFox Solutions in Minneapolis and chair of the Academy of Nutrition and Dietetics Diabetes Care and Education practice group. Brown suggests fresh fruit, small containers or cans of fruit (no syrup), fat-free yogurt, part-skim cheese (sticks, slices, and cubes), sugar-free pudding cups, nuts (any type), whole wheat crackers or pretzels, peanut butter, baby carrots, and 100-calorie snack packs (buy them or create your own). Also, drink plenty of water and no-calorie drinks.",diabetes
Q: Will insulin make me gain weight?,"A: The reason we need insulin-as a hormone made in our bodies or as a medication-is to push glucose into cells for energy. Insulin's job is to process calories. For this reason, it can-but doesn't have to-cause weight gain. To prevent weight gain: Practice portion control. Burn extra calories with exercise. If your blood sugar has been high for a while prior to starting insulin, you've likely been excreting calories in your urine instead of fueling your body. This won't happen once your blood sugar is under control. If you experience hypoglycemia (low blood sugar), treat it with just 15 grams of carb.",diabetes
Q: Why is weight loss so important? What's the best way for a person with type 2 to lose weight?,"A: Weight loss is vital, particularly just after a diagnosis of type 2 or prediabetes. Weight loss increases insulin sensitivity, allowing cells to more effectively use the insulin the body continues to make. Losing just 10–20 pounds can accomplish a boatload of benefits. Among them are improved blood sugar, blood pressure, and cholesterol levels and possibly taking fewer medications or lower doses. To lose weight slowly and steadily, change your lifestyle. The pounds you keep off over time are the most important to living a long life.",diabetes
Q: Can I drink alcohol?,"A: Yes, adults with diabetes can drink alcohol and should follow the same guidelines as the general public-an average of up to one drink per day for women and up to two drinks per day for men, with no more than three or four drinks in any single day for women and men, respectively. ""Research shows moderate alcohol consumption has minimal short- or long-term effects on glucose levels in people with type 1 or 2 diabetes,"" says Marion Franz, RD, CDE, owner of Nutrition Concepts by Franz in Minneapolis.",diabetes
Q: Can your menstrual cycle and/or going through menopause affect glucose levels?,"A: Foods that contain carbohydrate are quick and easy to digest for energy. ""Eat foods like bread, crackers, pretzels, dry cereal, 100 percent fruit juice, or sports drink with calories,"" says Gary Scheiner, CDE, an exercise physiologist and owner of Integrated Diabetes Services near Philadelphia. But if weight loss is a goal and you aren't at risk of hypoglycemia, just drink water-ditto for after exercise. Unless your workout was particularly exhausting or lasted several hours, you don't need food. People who take insulin and are physically active should consult their health care provider about how to adjust insulin dosages.",diabetes
Q: What are the best foods to eat before and after exercising?,"A: ""The CDC strongly recommends that blood-testing devices, including lancets, should never be used by more than one person to prevent any chance of infection,"" says Connie Crawley, RD, nutrition and health specialist at the University of Georgia Extension Service in Athens. ""And alcohol may not sufficiently disinfect a lancet.""",diabetes
Q: Why can't my wife and I use the same lancet if we clean it?,"A: Once you are diagnosed with type 1 or type 2 diabetes, you have it for the rest of your life. To stay healthy, keep your blood sugar, blood pressure, and cholesterol under good control. To do so, eat healthy, be physically active, and take your prescribed medications. Also get the tests and checks you need to detect complications early and treat them aggressively.",diabetes
Q: Can I get rid of diabetes? Will it ever go away?,"A: The only reason to replace your meter is if you determine it is not working correctly with its strips. To check, use the control solution that comes with your meter. ""It's an essential monitoring supply that many people don't know about or use,"" says Janine Freeman, RDN, CDE, a member of the American Association of Diabetes Educators Board of Directors.",diabetes
Q: How often should I replace my glucose meter?,"A: Your risk for hypoglycemia depends on the category of blood glucose-lowering medication(s) you take, not your type of diabetes. Some medications can cause hypoglycemia, including insulin; those in the sulfonylurea category, such as glyburide (Diabeta, Glynase, Micronase), glipizide (Glucotrol), and glimepiride (Amaryl); and those in the glinide category, such as repaglinide (Prandin) and nateglinide (Starlix). If you take one of these medications, always carry treatment. Most of the commonly used blood glucose-lowering medications for type 2 diabetes don't cause hypoglycemia.",diabetes
Q: Should I always carry glucose tablets?,"A: Yes! Research shows that the earlier your diabetes is diagnosed and the sooner you start to aggressively get your blood sugar, blood pressure, and cholesterol into target ranges, the healthier you can be over the years. To stay healthy and detect any complications early, make sure your health care provider orders all the tests and checks you need. Let your provider know if you have any signs or symptoms of a potential problem. Today, diabetes complications don't need to happen.",diabetes
Q: Is it true that complications of diabetes can be delayed and even prevented?,"A: If you have type 2 diabetes and were put on insulin, it's likely you need it to bring your blood sugar down farther than pills could. In this case, you'll likely need to take insulin injections the rest of your life. If, however, you started taking insulin when you had an infection, needed surgery, or were hospitalized for a medical reason, your need for insulin may be temporary. These situations raise stress, and stress can raise blood sugar levels. When the stress abates, you may be able to taper or stop taking insulin and get back to your previous medication regimen.",diabetes
Q: Will I need to be on insulin the rest of my life? Why can't I take pills instead?,"A: Taking care of diabetes and getting through your daily to-do list along with your other responsibilities is demanding. It's easy to understand why motivation waxes and wanes. BJ Fogg, director of the Persuasive Technology Lab at Stanford University and a leading expert on human behavior change, offers some tips to help get started:",diabetes
Q: What should my blood sugar be when I wake up (fasting) and before meals? What about after?,"A: For most people with diabetes, the American Diabetes Association recommends a fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. One to two hours after eating, a postprandial blood sugar reading at or under 180 mg/dl is recommended.",diabetes
Q: Does a diagnosis of type 2 diabetes mean I will have to go on insulin?,"A: No. People with type 2 diabetes may or may not ever need to take insulin injections, depending on several factors, including the timing of diagnosis. Research indicates that if type 2 diabetes is treated early and blood sugar is controlled initially and over the years, the pancreas is more likely to produce enough insulin longer. But a person who lives with type 2 upward of 15 years is unlikely to continue to make sufficient insulin and will need to take it via syringe, pen, or pump.",diabetes
Q: I was recently diagnosed with type 2 diabetes. Do I need to see an endocrinologist?,"A: ""While diabetes is an endocrine disease and falls under the specialty of an endocrinologist, there are only 3,000 of us in the U.S. who treat diabetes,"" says Nicholas Argento, M.D., an endocrinologist with Maryland Endocrine near Baltimore who has type 1 diabetes. Do the math: 25 million people have diabetes; there are not nearly enough endocrinologists. ""Most people with type 2 diabetes, especially in the early years, can partner with a primary care provider who takes an active interest in their diabetes,"" Argento says. Make sure your doctor keeps up-to-date and provides you with care in sync with current guidelines. Be active in your care and ask questions.",diabetes
Q: Can I get rid of type 2 diabetes if I stop eating carbs and/or lose a lot of weight?,"A: No, but you can control it. If you have prediabetes or were just diagnosed with type 2, losing a lot of weight can put the condition into remission. Weight regain, aging, and the natural progression of type 2 diabetes can bring it back. ""Not eating carbohydrate or severely restricting it is nearly impossible for any length of time. It's also not healthy, because you won't get essential nutrients,"" says JoJo Dantone, RD, CDE, a diabetes program coordinator in New Orleans.",diabetes
Q: Why is it OK to eat fruit when it's full of carbohydrate? Are some fruits better to eat than others?,"A: The calories in all fruits (fresh, frozen, dried, and canned without added sugar) are mainly carbohydrate with a bit of protein. People with diabetes need to eat a certain amount of carbs every day for energy and essential nutrients. Healthy sources of carbs include fruits, as well as vegetables, whole grains, legumes (beans), and low-fat dairy foods.",diabetes
Q: Why do my legs hurt when I start walking and stop hurting when I sit down?,"A: You have signs of peripheral arterial disease, or PAD. ""It develops when too much plaque in your arteries limits blood flow to the legs. The pain may occur while you walk because muscles need increased blood flow. The pain may stop when you sit because your muscles then require less blood flow,"" says Marjorie Cypress, Ph.D., CNP, CDE, a nurse practitioner in Albuquerque and president of Health Care and Education for the American Diabetes Association. PAD increases the risk of heart attacks, strokes, and foot ulcers. Cypress suggests lowering your risks for PAD with the same advice you follow to stay healthy with diabetes.",diabetes
Q: How can I learn to accept my diabetes?,"A: Accepting that you have diabetes is largely an act of cognition-a realignment of what you view as real and vital to your existence and how it can impact your life. Diabetes becomes an integral part of a person's life. ""While we all wish it would simply go away, this isn't possible-yet,"" says David Marrero, Ph.D., who has diabetes and is the director of the Diabetes Translational Research Center at the Indiana University School of Medicine. Marrero's advice: Accept that diabetes will, for the rest of your life, be there. And it's a very treatable disease, which places few restrictions on you if you follow treatment recommendations.",diabetes
Q: My husband has type 2 diabetes and is a truck driver. What foods can he take on the road?,"A: ""Preplanning and having healthy snacks at the ready are keys to helping you eat healthy on the road,"" says Lisa Brown, RD, CDE, of BrownFox Solutions in Minneapolis and chair of the Academy of Nutrition and Dietetics Diabetes Care and Education practice group. Brown suggests fresh fruit, small containers or cans of fruit (no syrup), fat-free yogurt, part-skim cheese (sticks, slices, and cubes), sugar-free pudding cups, nuts (any type), whole wheat crackers or pretzels, peanut butter, baby carrots, and 100-calorie snack packs (buy them or create your own). Also, drink plenty of water and no-calorie drinks.",diabetes
Q: Will insulin make me gain weight?,"A: The reason we need insulin-as a hormone made in our bodies or as a medication-is to push glucose into cells for energy. Insulin's job is to process calories. For this reason, it can-but doesn't have to-cause weight gain. To prevent weight gain: Practice portion control. Burn extra calories with exercise. If your blood sugar has been high for a while prior to starting insulin, you've likely been excreting calories in your urine instead of fueling your body. This won't happen once your blood sugar is under control. If you experience hypoglycemia (low blood sugar), treat it with just 15 grams of carb.",diabetes
Q: Why is weight loss so important? What's the best way for a person with type 2 to lose weight?,"A: Weight loss is vital, particularly just after a diagnosis of type 2 or prediabetes. Weight loss increases insulin sensitivity, allowing cells to more effectively use the insulin the body continues to make. Losing just 10–20 pounds can accomplish a boatload of benefits. Among them are improved blood sugar, blood pressure, and cholesterol levels and possibly taking fewer medications or lower doses. To lose weight slowly and steadily, change your lifestyle. The pounds you keep off over time are the most important to living a long life.",diabetes
Q: Can I drink alcohol?,"A: Yes, adults with diabetes can drink alcohol and should follow the same guidelines as the general public-an average of up to one drink per day for women and up to two drinks per day for men, with no more than three or four drinks in any single day for women and men, respectively. ""Research shows moderate alcohol consumption has minimal short- or long-term effects on glucose levels in people with type 1 or 2 diabetes,"" says Marion Franz, RD, CDE, owner of Nutrition Concepts by Franz in Minneapolis.",diabetes
Q: Can your menstrual cycle and/or going through menopause affect glucose levels?,"A: Foods that contain carbohydrate are quick and easy to digest for energy. ""Eat foods like bread, crackers, pretzels, dry cereal, 100 percent fruit juice, or sports drink with calories,"" says Gary Scheiner, CDE, an exercise physiologist and owner of Integrated Diabetes Services near Philadelphia. But if weight loss is a goal and you aren't at risk of hypoglycemia, just drink water-ditto for after exercise. Unless your workout was particularly exhausting or lasted several hours, you don't need food. People who take insulin and are physically active should consult their health care provider about how to adjust insulin dosages.",diabetes
Q: What are the best foods to eat before and after exercising?,"A: ""The CDC strongly recommends that blood-testing devices, including lancets, should never be used by more than one person to prevent any chance of infection,"" says Connie Crawley, RD, nutrition and health specialist at the University of Georgia Extension Service in Athens. ""And alcohol may not sufficiently disinfect a lancet.""",diabetes
Q: Why can't my wife and I use the same lancet if we clean it?,"A: Once you are diagnosed with type 1 or type 2 diabetes, you have it for the rest of your life. To stay healthy, keep your blood sugar, blood pressure, and cholesterol under good control. To do so, eat healthy, be physically active, and take your prescribed medications. Also get the tests and checks you need to detect complications early and treat them aggressively.",diabetes
Q: Can I get rid of diabetes? Will it ever go away?,"A: The only reason to replace your meter is if you determine it is not working correctly with its strips. To check, use the control solution that comes with your meter. ""It's an essential monitoring supply that many people don't know about or use,"" says Janine Freeman, RDN, CDE, a member of the American Association of Diabetes Educators Board of Directors.",diabetes
Q: How often should I replace my glucose meter?,"A: Your risk for hypoglycemia depends on the category of blood glucose-lowering medication(s) you take, not your type of diabetes. Some medications can cause hypoglycemia, including insulin; those in the sulfonylurea category, such as glyburide (Diabeta, Glynase, Micronase), glipizide (Glucotrol), and glimepiride (Amaryl); and those in the glinide category, such as repaglinide (Prandin) and nateglinide (Starlix). If you take one of these medications, always carry treatment. Most of the commonly used blood glucose-lowering medications for type 2 diabetes don't cause hypoglycemia.",diabetes
Q: Should I always carry glucose tablets?,"A: Yes! Research shows that the earlier your diabetes is diagnosed and the sooner you start to aggressively get your blood sugar, blood pressure, and cholesterol into target ranges, the healthier you can be over the years. To stay healthy and detect any complications early, make sure your health care provider orders all the tests and checks you need. Let your provider know if you have any signs or symptoms of a potential problem. Today, diabetes complications don't need to happen.",diabetes
Q: Is it true that complications of diabetes can be delayed and even prevented?,"A: If you have type 2 diabetes and were put on insulin, it's likely you need it to bring your blood sugar down farther than pills could. In this case, you'll likely need to take insulin injections the rest of your life. If, however, you started taking insulin when you had an infection, needed surgery, or were hospitalized for a medical reason, your need for insulin may be temporary. These situations raise stress, and stress can raise blood sugar levels. When the stress abates, you may be able to taper or stop taking insulin and get back to your previous medication regimen.",diabetes
Q: Will I need to be on insulin the rest of my life? Why can't I take pills instead?,"A: Taking care of diabetes and getting through your daily to-do list along with your other responsibilities is demanding. It's easy to understand why motivation waxes and wanes. BJ Fogg, director of the Persuasive Technology Lab at Stanford University and a leading expert on human behavior change, offers some tips to help get started:",diabetes
What causes high blood sugar?,"Many things can cause high blood sugar, but what we eat plays the biggest and most direct role in elevating blood sugar. When we eat carbohydrates, our body converts those carbohydrates into glucose, and this can play a role in raising blood sugar. Protein, to a certain degree, in high amounts can also raise blood sugar levels. Fat does not raise blood sugar levels. Stress leading to an increase in the hormone cortisol can also raise blood sugar levels.
Learn more in Dr. Sarah Hallberg's video on how what we eat impacts our blood sugar.",diabetes
What's the difference between type 1 and type 2 diabetes?,"By Dr. Priyanka Wali
‍Type 1 diabetes is an autoimmune condition that results in the body’s inability to produce insulin. People who suffer from Type 1 diabetes must be on insulin in order to keep glucose levels within normal limits.Type 2 diabetes is a disease in which either the body is able to produce insulin but is not able to produce enough or the body does not respond to the insulin that is being produced (known as insulin resistance). People with type 2 diabetes must be on a low carbohydrate diet to keep their diabetes from worsening.
Learn more in Dr. Sarah Hallberg's guide to reversing diabetes.",diabetes
What should your fasting blood sugar be?,"By Dr. Priyanka Wali‍
A fasting blood sugar should be less than 100 in order to be considered normal.  A fasting blood sugar of >100 to 125 is consistent with prediabetes.  Fasting blood sugar levels of 126 or greater is diagnostic of diabetes.
If your fasting blood glucose is consistent with prediabetes or type 2 diabetes, we recommend that you speak with your physician.
Learn more about how food impacts your fasting blood glucose.",diabetes
What is diabetic ketoacidosis?,"Diabetic ketoacidosis (or DKA) is a serious medical condition that can result from very high levels of ketones in the blood. If it is not recognized and treated right away, then it can lead to a coma or even death. Because it is such a serious condition, a person who develops diabetic ketoacidosis is usually admitted to the hospital for treatment.
This condition occurs when the body’s cells are unable to use glucose for energy, and the body begins to break down fat for energy instead. Ketones are produced when the body breaks down fat, and very high levels of ketones can make the blood extremely acidic. The acidity can potentially cause coma and death.
People with type 1 diabetes are at risk of developing diabetic ketoacidosis if they do not take their insulin, if they do not eat, or if they become sick for other reasons (such as an infection). It is very unusual for people with type 2 diabetes to develop diabetic ketoacidosis.
Ketoacidosis is different from ketosis. Learn more here: ketosis vs. ketoacidosis.",diabetes
How does Metformin treat prediabetes and type 2 diabetes?,"By Dr. Jeff Stanley‍
Metformin was first synthesized in the 1920s, but actually wasn’t approved for use for type 2 diabetes in the United States until 1995, under the brand name “Glucophage.” Metformin is also used for the treatment of prediabetes and polycystic ovarian syndrome (PCOS), although it is not currently FDA approved for this use.
Interestingly, the mechanism of action of metformin is not fully understood. It appears to reduce glucose production in the liver, although there is now evidence that other factors may also play a role. Metformin is generally safe and well-tolerated by patients and does not tend to cause low blood glucose, so it is recommended as the first-line pharmacologic treatment for type 2 diabetes.
Learn more about the dietary changes required to reverse diabetes without increasing medication in Reversing Diabetes 101 by Dr. Sarah Hallberg.
Citations:
Metformin for Prediabetes. JAMA. 2017;317(11):1171. doi:10.1001/jama.2016.17844
Rena G, Hardie DG, Pearson ER. The mechanisms of action of metformin. Diabetologia. 2017;60(9):1577-1585.",diabetes
What is type 1 diabetes?,"By Dr. Priyanka Wali‍
Type 1 diabetes is a condition where the body does not produce insulin.
‍What is insulin? Insulin is a hormone that is needed for the body to move glucose from the blood into the body’s cells. All of the organs in the body, including the brain, the heart, and the lungs, are made of cells. These cells use glucose for energy, which is why it is important for the glucose to move from the bloodstream into the cells.
The lack of insulin production in type 1 diabetes is usually caused by a problem with the pancreas. Type 1 diabetes is considered to be a permanent condition when it is diagnosed.",diabetes
What are the signs and symptoms of prediabetes?,"‍Prediabetes is considered to be one of the most insidious precursors to diabetes because it may not have any signs or symptoms. This is why it is so important to do diagnostic blood tests checking a fasting glucose or hemoglobin A1c (HbA1c) test to establish a diagnosis of prediabetes. Many people who have prediabetes (which affects 84 million adults in the U.S.) do not have any symptoms. By the time symptoms occurs, the diagnosis has usually already progressed to diabetes. There are some rare situations in which an individual can present with diabetes-related complications such as a retinal bleed, neuropathy or even a stroke, while only having a diagnosis of prediabetes.",diabetes
What is the best diet for prediabetes?,"‍‍A low carbohydrate diet is the ideal diet for prediabetes. This is because prediabetes occurs when glucose levels start to rise and the body produces insulin to try and lower the glucose levels. If the body cannot produce enough insulin or if the insulin level that the body is producing is not enough to meet the demands of the high glucose load, then glucose levels continue to rise.
A low carbohydrate diet can lower blood glucose levels and maintain a low blood glucose level.
Learn more in Reversing Diabetes 101 by Dr. Sarah Hallberg.",diabetes
How do you reverse prediabetes?,"Prediabetes can be reversed by following a low carbohydrate diet.
Once glucose levels are lowered with a low carbohydrate diet, the body’s demand for insulin also goes down. As insulin levels are lowered due to lowered glucose levels, this will then be reflected in lab results such as a normal HbA1c or fasting glucose. Once HbA1c or fasting glucose has been normalized, then one can say that the prediabetes has been put into remission or reversed.
Learn more in Reversing Diabetes 101 by Dr. Sarah Hallberg.
Dr. Hallberg describes how a low carbohydrate diet can be an effective treatment for insulin resistance in this video.",diabetes
What is the usual treatment for prediabetes?,"Some providers may prescribe Metformin to patients who suffer from prediabetes for some time and are unable to make the dietary changes to reverse their prediabetes, yet are at high risk for developing diabetes.
Many patients who receive a diagnosis of prediabetes will also be told to lose weight with diet and exercise. Weight loss also plays a role in reversing prediabetes; however, the mechanism by which prediabetes is reversed is related to lowering insulin levels, and lowering insulin levels can help reduce weight.
Prediabetes can be treated with a low carbohydrate diet. Learn more about nutrition for prediabetes in this article, Reversing Diabetes 101 by Dr. Sarah Hallberg.",diabetes
Is Prediabetes Reversible?,"‍Prediabetes can be reversed through the dietary changes outlined here. However, it is important to understand that if someone eats a low carbohydrate diet and reverses their prediabetes but then begins eating carbohydrates again in the future, the prediabetes will return. They must eat a low carbohydrate diet lifelong in order to reverse prediabetes and keep it permanently reversed.
Learn more about the dietary changes required to reverse prediabetes without increasing medication in Reversing Diabetes 101 by Dr. Sarah Hallberg.",diabetes
Is Prediabetes Reversible?,"‍Prediabetes can be reversed through the dietary changes outlined here. However, it is important to understand that if someone eats a low carbohydrate diet and reverses their prediabetes but then begins eating carbohydrates again in the future, the prediabetes will return. They must eat a low carbohydrate diet lifelong in order to reverse prediabetes and keep it permanently reversed.
Learn more about the dietary changes required to reverse prediabetes without increasing medication in Reversing Diabetes 101 by Dr. Sarah Hallberg.",diabetes
What causes type 2 diabetes?,"By Dr. Austin Smith
‍Genes and environment can play a role in causing type 2 diabetes mellitus.
Let’s first take a step back. Type 2 diabetes develops when the body becomes less responsive to insulin, which is the hormone responsible for shuttling glucose (sugar) from the blood into various tissues throughout the body. Ordinarily, the body’s tissues are made up of cells that contain receptors that bind to insulin. These receptors allow insulin, and the glucose that’s bound to it, to enter the cell. If insulin struggles to bind to these receptors effectively, then glucose ends up remaining in the bloodstream, where cells are unable to use it for fuel. This is known as insulin resistance.
Eventually, the pancreas, which is the organ responsible for producing insulin, can burn out and the amount of insulin it can produce decreases. This is known as relative insulin deficiency.
Both insulin resistance and relative insulin deficiency can become severe enough to cause type 2 diabetes.
And the causes for both insulin resistance and relative insulin deficiency can be traced to one’s genes or environmental influences.
Rarely is it the case that just one gene is responsible for causing type 2 diabetes. More often, multiple genes play a role. These genes are involved in multiple processes throughout the body, including the development of the pancreas and the release of insulin.
Two of the most important environmental influences associated with type 2 diabetes are weight gain (although there are also genetic influences on weight) and decreased physical activity. Insulin resistance can be linked to obesity, and improved with weight loss. Exercise, too, can help improve insulin resistance.
Ultimately, if type 2 diabetes develops--be it from insulin resistance, relative insulin deficiency, or both--one’s ability to tolerate carbohydrates in the diet drops off significantly. For many, carbohydrates in the diet make up the majority of the body’s supply of glucose. And so if insulin isn’t being produced in normal amounts (relative insulin deficiency) or if insulin can’t bind to its receptors and shuttle glucose into the cells effectively (insulin resistance), then the glucose produced by the breakdown of carbohydrates will end up remaining in the bloodstream, where it can damage various organs.Learn more about reversing diabetes through nutrition.
Citations:
Jameson, J. L., Kasper, D. L., Longo, D.L., Fauci, A. S., Hauser, S. L., & Loscalzo, J. (2018). Harrison’s Principles of Internal Medicine (19th Ed.). New York: McGraw-Hill Education.
Type 2 Diabetes. (2018, August 15). Retrieved October 8, 2018, from https://www.cdc.gov/diabetes/basics/type2.html
Your guide to diabetes: Type 1 and Type 2. (2013). Bethesda, MD: NIDDK, National Diabetes Information Clearinghouse.",diabetes
How do I know if I have diabetes?,"By Dr. Jeff Stanley
‍Type 2 diabetes is diagnosed in a number of ways. These include a fasting glucose of > or = 126 mg/dL, a hemoglobin a1c of 6.5% or greater, or elevated glucose on an oral glucose tolerance test. In addition, a random glucose of >200 is suggestive of diabetes.
However, there are a number of signs and symptoms that suggest type 2 diabetes and should make you consider getting a blood test. These include excessive thirst, frequent urination, blurred vision, numbness or tingling of extremities, weight gain and fatigue. Other possible symptoms include erectile dysfunction in men and irregular periods in women.
Learn more about the dietary changes required to reverse diabetes without increasing medication in Reversing Diabetes 101 by Dr. Sarah Hallberg.
Citation:
Bays HE, Bazata DD, Clark NG, et al. Prevalence of self-reported diagnosis of diabetes mellitus and associated risk factors in a national survey in the US population: SHIELD (Study to Help Improve Early evaluation and management of risk factors Leading to Diabetes). BMC Public Health. 2007;7:277. Published 2007 Oct 3. doi:10.1186/1471-2458-7-277",diabetes
What are the symptoms of type 2 diabetes?,"Symptoms of type 2 diabetes mellitus are as varied as they are unpleasant. If you notice any of the symptoms mentioned in this post, it would be advisable to seek medical attention.
For example, one might notice an increase in urination. A hallmark feature of type 2 diabetes is an elevated glucose (sugar) level in the blood. When blood glucose levels are high, the kidney struggles to filter the excess glucose out of the urine. The urine thus contains more glucose than it should, and this leads to higher volumes of fluid leaving the body through the urine. This is often accompanied by an increase in thirst. Sometimes the fluid losses from the urine are so great that it can lead to weight loss. To be clear, developing type 2 diabetes as a way to lose weight is dangerous, ill-advised, and should never be pursued.
Additionally, type 2 diabetes makes it difficult for the body’s organs to receive dietary fuel in the form of glucose. And when the body’s organs aren’t getting the energy they need to perform as they should, this can lead to fatigue and hunger.
Type 2 diabetes also makes it harder for the body to heal. This can lead to more frequent infections and slow-healing wounds.
Elevated blood glucose levels from type 2 diabetes can lead to blurry vision. Vision can improve as blood glucose levels decrease.
As if all the above weren’t enough, sometimes type 2 diabetes can lead to very severe dehydration and a significant impairment of one’s ability to think and speak clearly. And yes, while any of the above symptoms warrant seeking medical attention, these particularly worrisome symptoms warrant seeking medical attention immediately.
Learn more about reversing diabetes through nutrition.",diabetes
